Job title,Company name,Location,Description,Seniority level,Employment type,Job function,Industries
"Data Scientist I, Risk Analytics",Oscar Health,United States,"Hi, we're Oscar. We're hiring a Data Scientist I, Risk Analytics to join our Data team.Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.About The Role:As a Data Scientist I, Risk Analytics, you will work closely with the actuarial team, value capture team and other data scientists to help develop data pipelines, models, reports and analytics to improve Oscar’s risk adjustment processes.You will report into a Director of Data Science.Work Location:Oscar is a blended work culture where everyone, regardless of work type or location, feels connected to their teammates, our culture and our mission.If you live within commutable distance to our New York City office ( in Hudson Square), our Tempe office (off the 101 at University Ave), or our Los Angeles office (in Marina Del Rey), you will be expected to come into the office at least two days each week. Otherwise, this is a remote / work-from-home role.You must reside in one of the following states: Alabama, Arizona, California, Colorado, Connecticut, Florida, Georgia, Illinois, Iowa, Kentucky, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Texas, Utah, Virginia, Washington, or Washington, D.C. Note, this list of states is subject to change.Pay Transparency:The base pay for this role is $119,200-$156,450 per year. You are also eligible for employee benefits, company equity grants, participation in Oscar's unlimited vacation program and annual performance bonuses.You must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.Responsibilities:Responsible for the creation, implementation, and maintenance of data pipelines and processes that are integral to Oscar's risk quantification and submission process. This includes ensuring the accuracy, reliability, and timeliness of data flow with the support of a manager.Support upkeep and enhancement of our clinical risk quantification models. This involves regular model testing, validation, and refinement to ensure the models remain effective and up-to-date with the latest industry standards and practices.Develop advanced analytics and validation checks on data and statistical model outputs under the review of a manager at critical points. This includes identifying potential issues, anomalies, or inconsistencies in the data, and implementing corrective measures to ensure the integrity of our models and analyses.Collaborate closely with data leaders and business teams to enhance the overall data process of Oscar's risk adjustment effort. This involves understanding their needs and requirements, providing them with the necessary data support, and working together to develop strategies and solutions that improve our risk adjustment processes and outcomes.Compliance with all applicable laws and regulationsOther duties as assignedRequirements:A bachelor’s degree in a technical field OR 1+ years of relevant work experience1+ years experience working with SQL or Python1+ years experience building data models and advanced analyticsBonus Points:Master’s degree in a technical fieldKnowledge of or previous work experience in health care or health insuranceThis is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives..Pay Transparency: Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.Full-time employees are eligible for benefits including: medical, dental, and vision benefits, 11 paid holidays, paid sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.Reasonable Accommodation:Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.",Entry level,Full-time,Engineering and Information Technology,Insurance
"Data Scientist I, Risk Analytics",Oscar Health,"New York, NY","Hi, we're Oscar. We're hiring a Data Scientist I, Risk Analytics to join our Data team.Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.About The Role:As a Data Scientist I, Risk Analytics, you will work closely with the actuarial team, value capture team and other data scientists to help develop data pipelines, models, reports and analytics to improve Oscar’s risk adjustment processes.You will report into a Director of Data Science.Work Location:Oscar is a blended work culture where everyone, regardless of work type or location, feels connected to their teammates, our culture and our mission. This is a hybrid role in our New York City office. You will work part of the time in the office and part of the time remote / work-from-home.Pay Transparency:The base pay for this role is $119,200-$156,450 per year. You are also eligible for employee benefits, company equity grants, participation in Oscar's unlimited vacation program and annual performance bonuses.You must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.Responsibilities:Responsible for the creation, implementation, and maintenance of data pipelines and processes that are integral to Oscar's risk quantification and submission process. This includes ensuring the accuracy, reliability, and timeliness of data flow with the support of a manager.Support upkeep and enhancement of our clinical risk quantification models. This involves regular model testing, validation, and refinement to ensure the models remain effective and up-to-date with the latest industry standards and practices.Develop advanced analytics and validation checks on data and statistical model outputs under the review of a manager at critical points. This includes identifying potential issues, anomalies, or inconsistencies in the data, and implementing corrective measures to ensure the integrity of our models and analyses.Collaborate closely with data leaders and business teams to enhance the overall data process of Oscar's risk adjustment effort. This involves understanding their needs and requirements, providing them with the necessary data support, and working together to develop strategies and solutions that improve our risk adjustment processes and outcomes.Compliance with all applicable laws and regulationsOther duties as assignedRequirements:A bachelor’s degree in a technical field OR 1+ years of relevant work experience1+ years experience working with SQL or Python1+ years experience building data models and advanced analyticsBonus Points:Master’s degree in a technical fieldKnowledge of or previous work experience in health care or health insuranceThis is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives..Pay Transparency: Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.Full-time employees are eligible for benefits including: medical, dental, and vision benefits, 11 paid holidays, paid sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.Reasonable Accommodation:Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.",Entry level,Full-time,Engineering and Information Technology,Insurance
"Data Scientist I, Risk Analytics",Oscar Health,"Los Angeles, CA","Hi, we're Oscar. We're hiring a Data Scientist I, Risk Analytics to join our Data team.Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.About The Role:As a Data Scientist I, Risk Analytics, you will work closely with the actuarial team, value capture team and other data scientists to help develop data pipelines, models, reports and analytics to improve Oscar’s risk adjustment processes.You will report into a Director of Data Science.Work Location:Oscar is a blended work culture where everyone, regardless of work type or location, feels connected to their teammates, our culture and our mission. This is a hybrid role in our Los Angeles (Marina del Rey) office. You will work part of the time in the office and part of the time remote / work-from-home.Pay Transparency:The base pay for this role is $119,200-$156,450 per year. You are also eligible for employee benefits, company equity grants, participation in Oscar's unlimited vacation program and annual performance bonuses.You must be currently authorized to work in the United States on a full-time basis. Oscar will not sponsor applicants for this role.Responsibilities:Responsible for the creation, implementation, and maintenance of data pipelines and processes that are integral to Oscar's risk quantification and submission process. This includes ensuring the accuracy, reliability, and timeliness of data flow with the support of a manager.Support upkeep and enhancement of our clinical risk quantification models. This involves regular model testing, validation, and refinement to ensure the models remain effective and up-to-date with the latest industry standards and practices.Develop advanced analytics and validation checks on data and statistical model outputs under the review of a manager at critical points. This includes identifying potential issues, anomalies, or inconsistencies in the data, and implementing corrective measures to ensure the integrity of our models and analyses.Collaborate closely with data leaders and business teams to enhance the overall data process of Oscar's risk adjustment effort. This involves understanding their needs and requirements, providing them with the necessary data support, and working together to develop strategies and solutions that improve our risk adjustment processes and outcomes.Compliance with all applicable laws and regulationsOther duties as assignedRequirements:A bachelor’s degree in a technical field OR 1+ years of relevant work experience1+ years experience working with SQL or Python1+ years experience building data models and advanced analyticsBonus Points:Master’s degree in a technical fieldKnowledge of or previous work experience in health care or health insuranceThis is an authentic Oscar Health job opportunity. Learn more about how you can safeguard yourself from recruitment fraud here.At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives..Pay Transparency: Final offer amounts, within the base pay set forth above, are determined by factors including your relevant skills, education, and experience.Full-time employees are eligible for benefits including: medical, dental, and vision benefits, 11 paid holidays, paid sick time, paid parental leave, 401(k) plan participation, life and disability insurance, and paid wellness time and reimbursements.Reasonable Accommodation:Oscar applicants are considered solely based on their qualifications, without regard to applicant’s disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.",Entry level,Full-time,Engineering and Information Technology,Insurance
Data Scientist,Realtor.com,"Austin, TX","At Realtor.com®, we have among the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.Building your career? Build it better at Realtor.com®. Join us and help change the world of real estate, one home at a time.Austin, TX Based hybrid roleWe have the most comprehensive and accurate coverage of real estate listings and the most engaged users across all the online real estate portals. Our mission is to make buying, selling, renting, and living in homes easier and more rewarding for everyone.The Data Analytics team at realtor.com® sits at the heart of this mission. We process and analyze terabytes of data every day that enable decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. Our goal is to use this data to make the home-buying experience a breeze for our consumers. We empower them with the most up-to-date information on properties, help them find their dream homes in the least amount of time, and match them with the most suitable realtor to meet their unique, individual needs.The RoleWe’re looking for the best data and analytical minds to help lead a variety of our biggest efforts. Real estate is the largest asset class in the world and we have the best data and visibility into that market. As a member of the Data Analytics team, not only will you be responsible for leveraging advanced analytical techniques to extract meaningful insights from large and complex datasets, but also you will serve as a trusted advisor to surface data-driven insights and recommendations to our Media and Finance (Mortgage, Home Equity, and Refinancing) teams. Therefore, we want hands-on executors/do-ers/owners who also possess a strategic, business-oriented mindset.ResponsibilitiesWhat will you do:Partner closely with stakeholders across the Media and Finance organizations at Realtor.com to identify business problems and opportunities where data science can add valueUtilize advanced statistical learning and mathematical techniques to drive insights and translate them into strategic recommendations for stakeholders in the Media and Finance organizationsLead and guide the stakeholder team in designing experiments, conducting A/B tests, and performing statistical analysis to drive actionable insightsContribute to the development and maintenance of data pipelines, data integration, and data visualization tools to streamline the data science workflowRequirementsWhat will you bring:Bachelor’s Degree in Computer Science, Statistics, Mathematics or a related quantitative fieldMinimum 2+ years of experience as a Data Scientist or similar role with a strong track record of delivering impactful data-driven solutionsProficiency in programming languages such as Python or R, and related data analysis libraries Proficiency in spreadsheet editors such as Excel or Google SheetsProficiency in cloud-based data environments such as AWS and Snowflake as well as query programming languages such as SQLProficiency in advertising solution platforms such as Google Ad Manager Expertise in data visualization to effectively communicate complex findings and related tools such as Tableau, Shiny, etc.Strong understanding of statistical analysis, hypothesis testing, and experimental designStrategic mindset that enables one to learn how the Media and Finance organizations operate, understand their pain points and opportunities, and deliver data-driven recommendations that drive business value Strong communication skills to effectively communicate complex information and strategies to non-technical audiencesHow we work: We balance accelerated creativity and innovation on a foundation of in-person collaboration and flexibility, from inside and outside of our office walls. For most roles, our employees work three days of their choice in our offices and the remaining two days from home.At Realtor, we recognize that attracting the best talent is key to our strategy and success as a company. As a result, we aim for flexibility in structuring competitive compensation offers to ensure we are able to attract the best candidates.The quoted salary range represents our good faith estimate as to what our ideal candidates are likely to expect in the listed locations. We tailor our offers based on the selected candidate's experience, industry knowledge, technical and communication skills, location and other factors that may prove relevant during the interview process. All ranges are location based, ranges for positions in other locations may vary based on the local market.Pay-for-performance is a key element in our strategy to attract, engage, and motivate talented people to do their best work. Accordingly, offers extended for this role will include an annual bonus target typically expressed as percentage of salary. Similarly to salary, annual incentive bonus targets are set based on a variety of factors including job level, competitive market practice, experience, tenure, and essential skills.In addition to cash compensation, the company provides a comprehensive and highly competitive benefits package, with a variety of physical health, retirement and savings, caregiving, emotional wellbeing, and other benefits, including ""elective"" benefits employees may select to best fit the needs and personal situations of our diverse workforce.Do the best work of your life at Realtor.comBuilding your career? Build it better at Realtor.com®. Here, you’ll partner with a diverse team of experts as you use leading-edge tech to empower everyone to meet a crucial goal: finding their way home. And you’ll find your way home too. People are our foundation—the core that drives us passionately forward. At Realtor.com, you’ll bring your full self to work as you innovate with speed, serve our consumers, and champion your teammates. In return we’ll provide you with a warm, welcoming, and inclusive culture; intellectual challenges; and the development opportunities you need to grow.Diversity is important to us, therefore, realtor.com is an Equal Opportunity Employer regardless of age, color, national origin, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, marital status, status as a disabled veteran and/or veteran of the Vietnam Era or any other characteristic protected by federal, state or local law. In addition, realtor.com will provide reasonable accommodations for otherwise qualified disabled individuals.",Not Applicable,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services"
Data Scientist,Inspire U,"Burlington, MA","If you have a desire to grow with a dynamic company making a major contribution to renewable energy, have great advancement opportunities as we expand our solutions worldwide, and thrive in a fast paced, exciting environment, then this opportunity with WindESCo is for you.WindESCo is a rapidly growing company improving our planet by increasing the green energy output from existing wind farms. We do this by combining engineering expertise, advanced algorithms and machine learning. Our solutions are currently optimizing wind farms in 19 countries and 41 customers. We have an immediate opening for a Data Scientist in our Product Development team with the option to work remotely or at our headquarters in Burlington, MA. We are looking for candidates that think big, can thrive in our team-oriented culture and want to help change the world.To learn more about WindESCo, please visit .Data ScientistWe are looking for the role to develop industry leading data science and machine learning solutions, aimed at solving wind turbine asset health and performance optimization related problems. You will be expected to provide thought leadership in state-of-the-art machine learning techniques, and collaborate closely with subject matter experts and software development team members to assess opportunities and develop data-driven solutions. The ideal candidate is adept at using large data sets to identify opportunities, develop models, use/create algorithms, create/run simulations to deliver solutions as part of a team.Job responsibilitiesWork with stakeholders to translate business objectives into data and analytics solutions, and translate results into business insights using appropriate data engineering and data science applicationsMine and analyze data to assess opportunities and develop solutionsAssess the effectiveness and accuracy of data sourcesDevelop data models and algorithms to apply to data setsUse predictive modeling to assess asset health and optimize asset performancesDevelop reusable frameworks, models and components to enable rapid prototypingDevelop process and tools to monitor and analyze model performance and data accuracy Drive best practices in data scientist and machine learning Minimum QualificationsAdvanced degree in a quantitative discipline such as computer science, engineering, physics, statistics, and applied mathematics, etc.Strong problem solving skills with an emphasis on product development5+ years of analytics development or machine learning engineering experienceStrong understanding of foundational data science and machine learning concepts, algorithms and techniques; Demonstrated experience in creating and using these algorithms solving business problems and developing solutionsExpert knowledge of Python programming and leading machine learning frameworks (Scikit-learn, TensorFLow, Keras, PyTorch etc.)Experience in at least one cloud platform (AWS preferred) and associated machine learning services, e.g., Amazon SageMakerFamiliar with Agile software development practicesStrong interpersonal and communication skills, including the ability to explain and discuss machine learning concepts with colleagues and customersAbility to collaborate with people at all levels and with multiple-office/region teamsAbility to work without supervision and juggle priorities to thrive in a fast paced environmentPreferred QualificationsThe ideal candidate will have one or more of the following:Extensive knowledge of wind plant data, wind turbine design, or operations of a wind plant.Experience building/running systems with AWS cloud infrastructure.Experience using distributed computing engines, e.g. Dask, Ray, SparkExperience using big data technologies and distributed computing engines, e.g. HDFS, Spark, Kafka, Cassandra, Solr, DaskBenefitsWindESCo provides competitive compensation plans. In addition, employees receive options to purchase company shares, excellent health and dental insurance, 401k, and paid time off.WindESCo has established a progressive workplace that is collaborative and team focused. If you believe you would be an excellent fit and would like to join the WindESCo team, please submit your application.Powered by JazzHRydRlA2YVFS",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"Data Scientist, Product Analytics",Meta,United States,"As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.Data Scientist, Product Analytics Responsibilities:Work with large and complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches.Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products that serve billions of people and hundreds of millions of businesses.Identify and measure success of product efforts through goal setting, forecasting, and monitoring of key product metrics to understand trends.Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations.Partner with Product, Engineering, and cross-functional teams to inform, influence, support, and execute product strategy and investment decisions.Minimum Qualifications:Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience.A minimum of 4 years of work experience in analytics (minimum of 2 years with a Ph.D.)Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)Preferred Qualifications:Masters or Ph.D. Degree in a quantitative field.About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,Supernormal,"New York, United States","About The RoleJoin a small and mighty team at Supernormal working on pulling the future of work closer to the present. We're a rapidly growing platform solving a real need for thousands of people every day. As an early engineer at Supernormal, you’ll play a major role in building product experiences—and a workplace—people love. Together, we’ll help save real humans countless hours of manual work so they can spend their time sending satellites to space, or running their local government.Machine learning engineers at Supernormal build the AI that superpowers the core product experience for people’s meetings including transcription, note generation, and task automation. The AI team builds reliable and secure services that use the most advanced AI models in the market to generate millions of high quality meeting notes every month to a rapidly growing customer base. MLEs at Supernormal train and deploy custom ML models, engage deeply with LLMs through prompt engineering, fine-tuning, and neural search, and define & improve quality measures in service of our mission to make people more productive. You’ll also work closely with our product engineers and designers to ship user-facing product experiences powered by AI output.Supernormal is a well-funded seed-stage startup backed by EQT Ventures, Balderton Capital, and byFounders VC. We’re growing rapidly in a shaky market which makes us one of the lucky ones. If you want to operate with high autonomy in an environment where you’ll get to flex your skills to build great products with great people, Supernormal is your place.What you’ll work onPrompt engineering using state-of-the-art techniques to improve the core meeting assistant scenariosBuilding and shipping custom machine learning models to augment the AI stack including to manage transcript quality, compress text without losing semantic meaning, remove defects in LLM output, and extract semi-structured dataTraining and deploying custom large language models from open source using state-of-the-art techniques (LoRA, RLHF, instruction-tuning, etc) Developing new product experiences using NLP & LLMs that get better based on user feedback & iteration while collaborating with product engineers & design teamDefining and improving business & product metrics to optimize the quality and cost of AI usageAdvocating for, and building, new and better ways of doing things. You’ll leave everything you touch just a bit better than you found itRequirementsWhat you will bring1-2 years of industry experience as a machine learning engineer in NLP-related applications. Experience with large language models is preferredBachelor’s degree in Computer Science, Engineering, Mathematics or similar field; Master’s degree or PhD a plusAbility to train and evaluate ML models (e.g. via Jupyter notebooks) to solve important business needs Experience deploying and operating ML models in productionAbility to write robust production-level code in Python. Ruby experience is a plus. Experience working with data pipelines, reliable & secure production systems, data queryingDeep knowledge of the underpinnings of machine learning: math, probability, statistics, and algorithmsPlus if you have experience training large models on GPUs. Excellent communication skillsAbility to work in a teamSystems thinking and a deep desire to improve key metrics through engineering improvementsDemonstrated experience working collaboratively with other engineers. A habit of making things better without waiting for being askedA desire and willingness to help even when things fall outside of your scope of responsibilityWhat we’ll expect of youA collaborative and open outlook — we’re all about lifting each other up and getting better every dayA willingness to get deep into a problem even when it seems impossible. You’ll always have support from the teamConfidence operating with high agency. We’ll work together to decide what’s important, but we’d love for you to bring (and build!) your own ideasYou’ll come in willing to learn why things are the way they are, then suggest a better wayYou’ll understand that there’s no difference between “my idea” and “their idea.” It’s our ideas and we’re all responsible for itYou’ll approach speed bumps and reviews through a “how can the team level up?” lens — let’s all get better and learn, togetherWhat you can expect from usWe’re a fully distributed team spread between Pacific Time (Seattle) and Central European Time (Stockholm) with lots of places in between. We’ll see you most days in Slack, Google Meet, GitHub issues, and Notion. Sometimes in person in a place with a warm breeze We’re a friendly bunch and are happy to pair, talk through, or otherwise assist any timeHonest and timely feedback. We’re all better when we can have candid conversations about what is and isn’t workingA willingness to listen to your ideas: how can the codebase, our product, or team be better?A respect for your time outside of work. We all work hard here, but we never forget to rest and have funBenefits💰 Competitive salary📈 Stock options🏥 Full healthcare coverage (Medical, Dental, and Vision)🚀 Flexible hybrid working model🏠 WFH budget to make sure you have everything you need to do your best work✈️ Annual team-wide offsite to someplace cool🎓 Education credit (up to $500 per year)🧳 Unlimited PTO (minimum 4 weeks)",Entry level,Full-time,Engineering,"Technology, Information and Internet"
Entry level Data Scientist,Fitness Matrix Inc,"Jacksonville, FL","This is a remote position.Entry level Data Scientist - Work from home Full-time$63K - $70K per annum1+ Year Experience RequiredVisit fitnessmatrixinc.com  to learn more & apply with your resume and cover letter.Introduction:FitnessMatrixInc is an unique approach to health and wellness that is based on the principle of bio-individuality. This means that we believe that everyone is different and has their own unique needs and challenges. We will work with you to understand your biochemistry and develop a personalized plan that is right for you.Responsibilities:Partner with engineers, product managers, and business partners to identify algorithmic problems, brainstorm possible approaches, and recommend the best path forward. Develop algorithms iteratively, building in the right level of complexity to solve the business problem at hand and support future improvements. Define success criteria for your models so that you can measure impact and changes over time. You'll be expected to communicate findings and drive continuous improvements. Collaborate with Software Engineers to implement algorithms in production that scale gracefully. Collaborate with stakeholders to prioritize projects and define requirements. Carry out analysis of data produced by our hardware systems and create insightful visualizations to share your findings. Contribute to internal libraries to help other teams with their data science needs, including visualization, prediction, optimization, and inference. Experience:Advanced proficiency with Python and libraries commonly used for data analysis, e.g., Pandas, NumPy, SciPy, and Matplotlib. Strong understanding of data modeling and statistical analysis. Knowledge of optimization and predictive modeling techniques and experience applying them to real-world problems. Skilled at translating a general question or problem into a clearly defined algorithmic solution. Ability to communicate clearly with both technical and non-technical audiences. Ability to work independently and manage multiple projects simultaneously. Abilities:1-year Experience with Data Bricks or PySpark 1 year Experience with product ionizing data models Why should we work with FitnessMatrixInc?FitnessMatrixInc is the leading provider of holistic and multidimensional health and wellness services. We offer a comprehensive approach to health and wellness. We take into account all aspects of your life, from your physical fitness and nutrition to your mental, emotional, and spiritual well-being. We use the latest science and technology to develop our programs and services. We are constantly innovating and finding new ways to help our clients achieve their goals. We offer a variety of programs and services to meet your needs and budget.",Entry level,Full-time,Engineering and Information Technology,Software Development
Machine Learning Engineer,Neural Magic,"Somerville, MA","Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning engineer to work closely with our product and research teams to develop SOTA deep learning software. This person will work closely with our technical and research teams to develop training and deployment pipelines, implement model compression algorithms, and productize deep learning research. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to build machine learning productsPrototype and implement appropriate ML algorithms, tools, and pipelinesCreate and manage training and deployment pipelinesCollaborate with a cross-functional team about market requirements and best practicesKeep abreast of developments in the fieldRequirementsProven experience as a machine learning engineer or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsExperience with engineering and supporting ML pipelines in a popular ML framework such as PyTorch, TensorFlow, jax, etcExperience with engineering and maintaining training and/or deployment pipelines for Generative models / NLG / LLMsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityBachelor's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Associate,Full-time,Engineering,"Technology, Information and Internet"
Data Scientist,Symposit LLC,"Washington, DC","We are looking for an innovative Data Scientist to help drive analytics and unlock insights from our IT portfolio data. You will work with stakeholders and leadership to identify key metrics, develop visualizations and reporting, and enable data-driven decisions. Advanced degree in a quantitative field required.ResponsibilitiesImplement models to surface insights from project, program and TBM dataDesign interactive dashboards and visualizations using BI toolsAutomate data collection and implement quality control processesAnalyze data and communicate trends, drivers and recommendationsContinuously improve and expand analytics capabilitiesEducate others on using data to inform technology investmentsRequirementsMS or PhD in computer science, analytics, mathematics or statistics5+ years experience in data science and predictive modelingExpertise building analytics platforms and advanced algorithmsStrong data visualization and storytelling abilitiesPassion for digging into data to uncover actionable insightsSymposit LLC is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, national origin or any other characteristic protected under federal, state, or applicable laws.Symposit LLC participates in E-Verify. For more information please visit: www.dhs.gov/E-VerifyPowered by JazzHRvFC6pMvvSe",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
