Link,Job title,Company name,Location,Salary,Description,Seniority level,Employment type,Job function,Industries
https://www.linkedin.com/jobs/view/data-scientist-at-stemboard-3746740797?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=7q96CXcv2FBJKkLgxT0czQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist,STEMBoard,"Tampa, FL",not found,"STEMBoard is seeking a data scientist with knowledge in programming for integrating complex models and using advanced software library frameworks to distribute large, clustered data sets. The data scientist work with a team of data scientists and engineers that collect and arrange data in a form that is useful for analytics. A knowledge of machine learning is also desired to build efficient and accurate data pipelines to meet the needs for downstream users such as data scientists to create the models and analytics that produce insight.Principal Duties and Responsibilities:A data scientist will have skills sets of both data analysts and data engineers. Data scientists are responsible for designing, implementing, and maintaining a data pipeline. In addition, data scientists shall interpret and analyze complex sets of data, as well as plan, execute, and manage ML projects with cloud-native platforms and advanced ML solutions. They understand some of the most challenging processes, technologies, and can leverage a vast array of methodologies in the field, such as data mining, natural language programming, and machine learning.Data scientists must have a combination of skills that includes programming, mathematical modeling, statistics, and domain knowledge. They must combine an advanced math and statistics background with programming, domain knowledge, and communication skills to analyze data, create applied mathematical models, and present results in a form useful to the organization. They must also be able to understand and manipulate structured and unstructured large data sets, which requires proficiency in distributed SQL programming, relational and non-relational data queries, general programming languages (such as Python and R,) and machine learning techniques. Apply and develop scientific methodology, statistics, and algorithms to discover and frame relevant problems, hypotheses, and opportunitiesDevelop predictive and prescriptive modeling, natural language processing (NLP), Robotic Process Automation (RPA), text mining and processing, clustering, forecasting methods, and other advanced statistical techniques. Design and automate processes to facilitate the manipulation and analysis of data. Manage and integrate data across dissimilar data sets. Analyze large-scale structured and unstructured data. Use frameworks such as Spark and Hadoop to conduct large-scale data processing. Perform statistical modeling and create data visualizations using products like Tableau, Microsoft Power BI and R Shiny. Research, design, and implement algorithms to solve complex problems. Program using R, Python (NumPy, SciPy, Pandas) or similar analytical languagesPerform data engineering, data processing and modeling techniques using cloud-based data management, data science, and ML platforms such as Databricks, IBM Cloud Pak, Cloudera, and Snowflake. Communicate complex concepts and hypothesis to a non-technical audience through digital storytellingRequirements Experience: 1+ years of experience with software engineering, data science or related experience.  Education: Bachelors or degree in STEM with a preference towards Data Science, Computer Science, or Software Engineering Tools: Proficient with one or more programming languages (Java, C++, Python, R, etc.) Security Clearance: minimum of TOP SECRET levelProficient in Agile Development and Git Operations. Demonstrated experience applying data science methods to real-world data problems. BenefitsHealthcare, Vision, and Dental Insurance20 Days of Paid Leave401K MatchingTraining/Certification ReimbursementShort term/Long term disabilityParental/Maternity LeaveLife InsuranceSTEMBoard is committed to hiring and retaining a diverse workforce. All qualified candidates will receive consideration for employment without regard to disability, protected veteran status, race, color, religious creed, national origin, citizenship, marital status, sex, sexual orientation/gender identity, age, or genetic information. Selected applicant will be subject to a background investigation. STEMBoard is an Equal Opportunity/Affirmative Action employer.",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
https://www.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-marketbridge-3752271170?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=DR5pARTSfyAITKWonyutmg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist - Marketing Analytics,MarketBridge,"Washington, DC",not found,"Who We AreMarketBridge is the leading provider of rapidly scalable, innovative go-to-market solutions for Marketing, Sales, and CX leaders. For over 25 years we’ve delivered customer-centric, data-driven strategies to Fortune 500 clients. Our unique approach—Go-to-Market® Science—uses analytics and insight to drive revenue growth and customer value. As a boutique consulting firm, we pride ourselves on:Deep Go-to-Market® Expertise - We are a mix of go-to-market® strategists and execution-oriented practitioners who wrote the book on multi-channel commercial strategyData-Centric Approach - We love measuring results and understand the value of the good and the bad to unearth real performance optimizationHuman and AI-Powered Insights - We drive commercial agility with a constant pulse on our client’s markets and consumers, through technology-generated and human-curated insightsAgile Extension of The Client - We are an extension of our client’s team, so we flex priorities to be able respond to their changing needs and technology infrastructureIn-Market Actionability - We go beyond strategy to ensure we deliver go-to-market solutions where, when, and how they can best be put into actionWho We’re Looking ForMarketBridge is looking for a Data Scientist to support program strategy and execution to help clients improve their marketing and sales outcomes. The Data Scientist will be part of a project team and play a key role in helping our clients measure marketing’s effectiveness and optimize marketing mix to drive results. You will quickly work with clients to solve some of their most pressing problems, leveraging a variety of tools and methods including quantitative analysis, model development, and market research.ResponsibilitiesModel Development: Investigate, suggest, and attempt new model builds including Marketing Mix Models (MMM) and Multi-Touch Attribution (MTA)Project and Client Management: Communicate with clients regarding data outputs, create technical slides for project deliverables, and flag roadblocks that may impede on-time deliveryInternal Collaboration: Participate in brainstorms and troubleshooting, partner with Lead Data Scientist and Project Manager to outline modeling approach and data sources, and support and mentor junior Analysts QualificationsThis position is for those with significant analytics experience who are looking for an opportunity to use data, research, and best practices to help improve clients’ sales and marketing strategies while increasing the responsibility and autonomy over their workstreams. We are looking for someone who:Has 2+ years of experience in data-driven consulting, market research, and data scienceHas a background in highly quantitative hard sciences (advanced math, computer science, or economics) or highly quantitative social sciencesIs comfortable using big or small data environments to answer questions and then develop an overall story about what the analysis meansHas experience with integrating stimulus, response, and control data from a variety of sources including agencies, internal systems, and technology platformsHas experience in econometric techniques, including panel data, ridge regression, and multiple functional forms as well as machine learning techniquesHas experience coding in R and/or Python, including data mungingHas experience creating reproducible deliverables (Rmarkdown, notebooks, etc.)Experience with version control (git, github, etc.) and modern data storage (MapReduce, Spark) Can balance multiple projects at one time, under tight deadlinesHas excellent written and oral communication, presentation, and analytical skillsIs extremely conscientious, with a strong attention to detail and excellent organizational skillsNote: This position requires the ability to work in the United States without visa sponsorship. MarketBridge is an Equal Opportunity Employer.The ideal candidate will:Can balance multiple projects at one time, under tight deadlinesHas excellent written and oral communication, presentation, and analytical skillsIs extremely conscientious, with a strong attention to detail and excellent organizational skillsBe proactive and start projects with little proddingOur CultureMarketBridge is an organization with an entrepreneurial spirit, full of smart, fun to be around, lifetime learners who want to make a real difference for our clients every day. We are proud to say that our most valuable asset is our people. High performers are recognized and rewarded for their efforts, and you will be working alongside some of the best and brightest people in the industry. MarketBridge has been named one of The Washington Post's 2023 Top Workplaces in the Washington, D.C. area.Our long-term success depends on a culture in which development is employee-owned, manager-guided, and MarketBridge enabled. Through a range of resources, employees can take advantage of development opportunities, mentoring, and self-directed or business-sponsored courses to help drive their careers. In addition, we offer:Industry-competitive compensation Performance-based salary and bonuses A wide array of healthcare options, including medical, dental and vision coverage 401(k) retirement plan with a company match Generous vacation and holiday time Yearly health and wellness credits Casual dress code Hybrid work modelCompany social eventsPowered by JazzHRYi0XBnOvEd",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/deep-learning-engineer-at-cyberjin-3757438652?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=GrM7o%2F95HpPvt%2BdnFkWM2Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,Deep Learning Engineer,Cyberjin,"Honolulu, HI",not found,"Hybrid RoleIdeal candidate traits💪 Enjoys significant ownership over user-facing product🧑‍💻 Can work independently📑 Is comfortable turning research papers into product🧠 Has 2 - 10 years experience with deep learning or has a PhD in a STEM field💨 Builds with a product-first approach. You ship code quickly and care about the real world impact of your code.🐍 Python expertise strongly preferred - however, candidates with deep learning experience in a different language will be considered🔧 Familiarity with Tensorflow preferredPowered by JazzHRUPsUGFWPIH",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
https://www.linkedin.com/jobs/view/data-scientist-%24175k%2B-at-henderson-harbor-group-3757450438?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=bKy0RZ%2BTEWsPp7gkzugHCg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist - $175k+,Henderson Harbor Group,New York City Metropolitan Area,not found,"Henderson Harbor Group is a premier executive search and consulting firm with deep experience in technology, finance, accounting and tax. The search division recruits highly skilled professionals on a direct hire basis. We service our clients primarily in the tristate area as well nationally through our AAFA and NPA network.As a Data Scientist, you will be at the forefront of our data-driven decision-making process. You will work closely with cross-functional teams to extract valuable insights from data, build predictive models, and provide actionable recommendations to drive our business forward. Key ResponsibilitiesCollect and preprocess data from various sources, ensuring data quality and accuracy.Explore, analyze, and visualize data to identify trends, patterns, and insights.Develop machine learning models and algorithms for predictive and prescriptive analytics.Collaborate with domain experts and stakeholders to define business problems and objectives.Design experiments and conduct statistical analysis to test hypotheses and validate models.Evaluate and select appropriate tools, frameworks, and libraries for data analysis and modeling.Create data-driven reports and dashboards to communicate findings and recommendations.Stay up-to-date with the latest data science techniques and technologies.Participate in the development of data science strategies and roadmaps.Contribute to data-related projects, mentor junior data scientists, and provide technical guidance.Maintain a strong focus on data privacy, ethics, and compliance. QualificationsBachelor's or Master's degree in a quantitative field, such as computer science, statistics, or data science.Proven experience as a Data Scientist or in a similar role.Proficiency in data analysis and visualization tools, such as Python, R, or SQL.Strong knowledge of machine learning, statistics, and data mining.Experience with data manipulation and modeling libraries (e.g., pandas, scikit-learn, TensorFlow, PyTorch).Strong problem-solving and analytical skills.Excellent communication and presentation skills.Ability to work effectively in a collaborative team environment.Knowledge of big data technologies and distributed computing is a plus.Industry-specific experience may be required based on the role (e.g., healthcare, finance, e-commerce, etc.).",Mid-Senior level,Full-time,Information Technology,"Insurance, Financial Services, and Real Estate"
https://www.linkedin.com/jobs/view/data-scientist-at-global-dimensions-llc-3739543379?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=eH9VK9TSj%2FZoLYiGRBsthg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist,"Global Dimensions, LLC","Tampa, FL",not found,"Global Dimensions is recruiting for an upcoming opportunity and seeking candidates who will be available upon award.Global Dimensions LLC is committed to providing exceptional support to our nation's defense and security efforts. Global Dimensions is recruiting for an upcoming opportunity and seeking candidates who will be available upon award. We are currently seeking a highly qualified Data Scientist to join our team at MacDill Air Force Base, FL. This role will play a pivotal part in providing on-site software programming capability with a focus on database development, maintenance, and performance improvements.Job Overview:As a Data Scientist at Global Dimensions LLC, supporting the J5 Directorate your responsibilities are vital in database design, maintenance, and data analysis to support assessments, analyses, and wargaming within the USSOCOM framework.Duties and Responsibilities:Provide on-site software programming capability with emphasis in database development, maintenance, and performance improvements. The contractor shall perform tasks such as:Use database theory including relational databases to design table structures and relationships, queries, macros, forms, and reports; normalize data; and use data flow and entity relationship diagrams to accomplish daily tasks. Gather requirements and design databases to support assessments, analyses, and wargaming. Facilitate the preparation and input for all data and databases used for assessments, analyses, and wargaming. Prepare resulting data to facilitate analysis of results. Establish links to prepare files containing results data. Provide presentation data in various formats to the userApply all facets of database design to include table relationships, build complex queries, apply user interface, generate reports, and use automation. Integrate analytical applications (such as, but not limited to, R and/or Python modeling languages) to the suite of Microsoft applications (such as Excel, SharePoint, Access, and Word). Coordinate with operational technical experts. Create data management tools to support statistical/predictive analysis and cutting-edge algorithms. Develop tools and reports that assist users with access and data analysis. Verify and validate data for accuracy to ensure precise analysis results and apply a wide range of analytical data-mining techniques to produce complex, accurate data representations. Provide data reduction by increasing data reuse. Develop unique data views and analysis to include dynamic visualizations and maps using a variety of data sources. Generate finished products for presentation and final reporting. RequirementsQualifications:Civilian Education: BA/BS Preferred Disciplines: Applied Statistics, Operations Research, Systems Analysis, Computer Science, Industrial Engineering, Systems Engineering, or another related field. Optional Specialization: Computer Coding, Database Management and Planning, Network Services PlanningActive TOP SECRET clearance. Eligible for SCIGlobal Dimensions does not discriminate on the basis of race, sex, color, religion, age, national origin, marital status, disability, veteran status, genetic information, sexual orientation, gender identity or any other reason prohibited by law in provision of employment opportunities and benefits. Equal Opportunity Employer/Veterans/Disabled",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
https://www.linkedin.com/jobs/view/data-scientist-at-primary-services-3757703911?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=RSIo96lLIh9IXYT3oU8WSA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist,Primary Services,"New York, United States",not found,"Become an essential member of NRG as a Data Scientist, offering the opportunity to view the big picture of retail operations and marketing, as well as develop specialized knowledge in specific areas!NRG aims to promote customized offerings: the right product offered through the right channel, with the right message at the right time for each current or prospective customer. To accomplish this, we leverage our data via predictive modeling, statistical analyses, and optimization. If you love data, programming, creative problem-solving, and communicating results, you will fit right in.Responsibilities:Apply statistical modeling or machine learning algorithms to optimize marketing efforts with respect to customer acquisition, retention, customer experience, and margin enhancementTake a leadership role in mentoring and developing junior analystsCollaborate closely with the marketing team to strategize, plan, and analyze A/B testsUtilize advanced quantitative techniques to accurately quantify and evaluate the impact of different marketing strategies and levers..Produce models that predict consumer behavior responses to various marketing leversHelp executives monitor the pulse of the business by automating reports of key performance indicatorsCreate impactful and meaningful visualizations that effectively communicate complex data and insightsTranslate, communicate, and present results and recommendations to a non-technical audienceRequirements:Bachelor's degree in Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research is required.Advanced Degree (MS or PhD) in a quantitative field is strongly preferred, such as Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research.3+ years in statistical modeling and quantitative analysis in industry or full-time academic research.Strong Causal Inference skills (A/B testing, propensity score matching, etc.)Proficiency in Bayesian statistics, including experience applying Bayesian methods for data analysis and inference.Previous retail electricity market experience preferredPrevious marketing experience preferredExperience analyzing weblog data a plusKaggle competition experience also a plus    Technical Skills Requirements:Possess strong statistical modeling and analysis skills.Demonstrate a solid understanding of graduate-level multivariate statistical techniques and sampling methods, including but not limited to multivariate regression, ANOVA, factor analysis, cluster analysis, and principal components analysis.Exhibit strong general programming skills.Proficiency in Python, including experience with pandas and scikit-learn for data analysis and machine learning tasks.Possess strong SQL skills and understanding of relational databases.Excel proficiency, with the ability to effectively utilize advanced functions and features.R programming a plusSurvival modeling a plus",Associate,Full-time,Analyst and Project Management,"Events Services, Recreational Facilities, and Oil and Gas"
https://www.linkedin.com/jobs/view/data-scientist-at-addsource-3750614936?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=2S7Yp7shmX13SX4noVqGMQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist,AddSource,United States,not found,"SkillsPython+ Rust (Must have)Understanding of Parquet files , AWS stackGood experience/background working as Data scientist for several years. (4-5 years)Good learner – may have to learn new techniques/technology. (Panda, Polars app)",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
https://www.linkedin.com/jobs/view/data-scientist-at-primary-services-3757708104?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=oC2TxiQOrn0Hhm1FccRjVg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,Data Scientist,Primary Services,"Los Angeles County, CA",not found,"Become an essential member of NRG as a Data Scientist, offering the opportunity to view the big picture of retail operations and marketing, as well as develop specialized knowledge in specific areas!NRG aims to promote customized offerings: the right product offered through the right channel, with the right message at the right time for each current or prospective customer. To accomplish this, we leverage our data via predictive modeling, statistical analyses, and optimization. If you love data, programming, creative problem-solving, and communicating results, you will fit right in.Responsibilities:Apply statistical modeling or machine learning algorithms to optimize marketing efforts with respect to customer acquisition, retention, customer experience, and margin enhancementTake a leadership role in mentoring and developing junior analystsCollaborate closely with the marketing team to strategize, plan, and analyze A/B testsUtilize advanced quantitative techniques to accurately quantify and evaluate the impact of different marketing strategies and levers..Produce models that predict consumer behavior responses to various marketing leversHelp executives monitor the pulse of the business by automating reports of key performance indicatorsCreate impactful and meaningful visualizations that effectively communicate complex data and insightsTranslate, communicate, and present results and recommendations to a non-technical audienceRequirements:Bachelor's degree in Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research is required.Advanced Degree (MS or PhD) in a quantitative field is strongly preferred, such as Statistics, Computer Science, Economics, Engineering, Mathematics, or Operations Research.3+ years in statistical modeling and quantitative analysis in industry or full-time academic research.Strong Causal Inference skills (A/B testing, propensity score matching, etc.)Proficiency in Bayesian statistics, including experience applying Bayesian methods for data analysis and inference.Previous retail electricity market experience preferredPrevious marketing experience preferredExperience analyzing weblog data a plusKaggle competition experience also a plus    Technical Skills Requirements:Possess strong statistical modeling and analysis skills.Demonstrate a solid understanding of graduate-level multivariate statistical techniques and sampling methods, including but not limited to multivariate regression, ANOVA, factor analysis, cluster analysis, and principal components analysis.Exhibit strong general programming skills.Proficiency in Python, including experience with pandas and scikit-learn for data analysis and machine learning tasks.Possess strong SQL skills and understanding of relational databases.Excel proficiency, with the ability to effectively utilize advanced functions and features.R programming a plusSurvival modeling a plus",Associate,Full-time,Analyst and Project Management,"Events Services, Recreational Facilities, and Oil and Gas"
https://www.linkedin.com/jobs/view/machine-learning-engineer-%24175k%2B-at-henderson-harbor-group-3757454354?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=3r4oAnpztq138dyII%2FEHfQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,Machine Learning Engineer - $175k+,Henderson Harbor Group,New York City Metropolitan Area,not found,"Henderson Harbor Group is a premier executive search and consulting firm with deep experience in technology, finance, accounting and tax. The search division recruits highly skilled professionals on a direct hire basis. We service our clients primarily in the tristate area as well nationally through our AAFA and NPA network.As a Machine Learning Engineer, you will be a vital part of our machine learning and data science team responsible for designing, developing, and deploying machine learning models. You will work on a range of projects, from natural language processing and computer vision to recommendation systems and predictive analytics. Key ResponsibilitiesCollect, preprocess, and analyze data from various sources to support machine learning tasks.Develop and implement machine learning models, algorithms, and solutions to address business challenges and opportunities.Collaborate with data scientists and domain experts to understand project goals and requirements.Experiment with state-of-the-art machine learning techniques and algorithms.Design, build, and optimize machine learning pipelines and workflows.Evaluate and select appropriate machine learning frameworks, libraries, and tools.Fine-tune and optimize machine learning models for performance and accuracy.Deploy machine learning solutions into production environments.Monitor and maintain deployed models to ensure their continued performance.Stay updated with the latest advances in machine learning and artificial intelligence.Comply with data privacy, ethics, and compliance standards in machine learning projects.Mentor and provide guidance to junior machine learning engineers or data scientists. QualificationsBachelor's or Master's degree in computer science, machine learning, artificial intelligence, or a related field.Proven experience as a Machine Learning Engineer or in a similar role.Strong programming skills in languages such as Python, R, or Scala.Proficiency in machine learning, deep learning, and data analysis.Knowledge of machine learning libraries and frameworks like TensorFlow, PyTorch, or scikit-learn.Experience with data preprocessing, feature engineering, and model training.Strong problem-solving and analytical skills.Excellent communication and teamwork skills.Ability to work effectively in a collaborative team environment.Knowledge of big data technologies, cloud platforms, and distributed computing is a plus.",Mid-Senior level,Full-time,Information Technology,"Insurance, Financial Services, and Real Estate"
https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3739869040?refId=KJC87mE5zm4DweOe2vTd9A%3D%3D&trackingId=uUSXA0I%2BfuCRQB3g9RRtPg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Machine Learning Ops Engineer at AI image-to-image startup,Ponce AI,"San Francisco, CA",not found,"Job DescriptionWhat to Expect:We are seeking a skilled and creative ML Ops Engineer to join our team. As an ML Ops Engineer you will be responsible for utilizing open-source diffusion image generation models to develop high-quality and visually appealing photorealistic images that incorporate the cosmetic medical procedure results. You’ll work alongside our passionate team to help us build our core image generation pipelines for cosmetic procedure simulations. We plan to combine existing libraries with a manual process to implement the solution, leveraging open-source solutions like Stable Diffusion, ControlNet, Dream Booth, and LORA.We are looking for a candidate with strong with interests in genAI image generation. As part of this role, you will be building the AI workflow for our image generation tool, which utilizes generative AI and computer vision to simulate the post-cosmetic surgery appearance of users — a “try-on” experience for beauty procedures.Responsibilities:Implement and fine-tune open-source stable diffusion image generation models to generate photorealistic images. Adapt and enhance existing models to achieve optimal results. Explore and experiment with cutting-edge techniques and algorithms to improve image quality and realism. Optimize and fine-tune models to enhance performance and efficiency. Collaborate with the engineering and design teams to integrate image generation capabilities into a web application. Conduct rigorous testing and troubleshooting to identify and resolve any issues or bugs. Keep up-to-date with the latest advancements in the field of image generation and deep learning so that we can incorporate all advancements into our workflow. Qualifications:Bachelor's or Master's degree in Data Science, Computer Science, Engineering, or a related field (or equivalent practical experience). Strong understanding of deep learning principles, especially in the field of computer vision and image generation. Proficiency in working with open-source stable diffusion image generation models, particularly those from Hugging Face and Civitai. Solid programming skills in Python, with experience in frameworks such as TensorFlow or PyTorch. Experience with deep learning libraries and tools, including CUDA, cuDNN, and GPU programming. Familiarity with image processing techniques, algorithms, and tools. Ability to analyze, troubleshoot, and optimize deep learning models for performance and efficiency. Strong problem-solving skills and attention to detail. Excellent communication and teamwork abilities. Preferred Qualifications:Experience working with generative adversarial networks (GANs) or variational autoencoders (VAEs). Knowledge of additional programming languages, such as C++ or Java. Experience with version control systems (e.g., Git) and collaborative software development practices. Join our dynamic team and contribute to cutting-edge advancements in photorealistic image generation. If you are passionate about deep learning and have a keen eye for visual aesthetics, we look forward to receiving your application.Company DescriptionPonce.ai lets anyone create aesthetic treatment simulations with AI. The product let’s interested customers see highly realistic simulations from a single image. The Ai-generated simulation images give the prospective customer a vivid picture of how they would look after getting the procedure — instantly and without any provider involvement.Ponce.ai lets anyone create aesthetic treatment simulations with AI. The product let’s interested customers see highly realistic simulations from a single image. The Ai-generated simulation images give the prospective customer a vivid picture of how they would look after getting the procedure — instantly and without any provider involvement.",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
